car,model,price,body,mileage,engV,engType,PurchaseYear,drive,PurchaseMonth
Audi,A6,3650,sedan,240,2.5,Diesel,2000,front,Jan
Nissan,Leaf,17000,hatch,38,0.56,Other,2013,front,Feb
Mitsubishi,Galant,12000,sedan,121,2.4,Gas,2009,front,Mar
Kia,Sportage,20633.886,crossover,79.5,1.7,Diesel,2016,front,Apr
Porsche,Cayenne,55000,crossover,105,3,Diesel,2012,full,May
Kia,Sportage,18000,crossover,64,2,Diesel,2011,full,Jun
Kia,Sportage,21700,crossover,58,2,Diesel,2012,full,Jul
Volkswagen,Passat B5,2400,vagon,320,1.9,Diesel,2000,front,Aug
Volkswagen,Passat B5,2350,sedan,300,1.9,Diesel,1998,front,Sep
Honda,Accord,18600,vagon,98,2.4,Gas,2011,front,Oct
Mercedes-Benz,GLE-Class,104999,crossover,1,3,Diesel,2016,full,Nov
Toyota,Land Cruiser 200,195000,crossover,49.5,4.5,Diesel,2016,full,Dec
Porsche,Cayenne,49900,crossover,73,3,Diesel,2011,full,Jan
Porsche,Cayenne,50900,crossover,53,3.6,Petrol,2013,full,Feb
Porsche,Cayenne,99999,crossover,1,2.99,Diesel,2016,full,Mar
Toyota,Land Cruiser 200,65000,crossover,49.5,4.5,Diesel,2016,full,Apr
Toyota,Land Cruiser 200,102999,crossover,49.5,4.5,Diesel,2016,full,May
Audi,Q7,35900,crossover,143,3,Diesel,2010,full,Jun
Honda,Accord,16500,sedan,147,2.4,Petrol,2009,front,Jul
Toyota,Land Cruiser 200,103999,crossover,49.5,4.5,Diesel,2016,full,Aug
Porsche,Cayenne,114900,crossover,25,4.8,Petrol,2013,full,Sep
Porsche,Cayenne,26500,crossover,160,4.8,Petrol,2008,full,Oct
Mitsubishi,Outlander XL,12999,crossover,140,2.4,Gas,2007,full,Nov
Honda,Accord,30000,sedan,52,3.5,Gas,2014,front,Dec
Porsche,Cayenne,26900,crossover,135,4.8,Petrol,2008,full,Jan
Toyota,Land Cruiser 200,80000,crossover,23,4.5,Diesel,2014,full,Feb
BMW,520,8500,sedan,260,2.2,Gas,2001,rear,Mar
Mercedes-Benz,Vito ïàññ.,7000,van,197,2.2,Diesel,2002,front,Apr
Audi,Q7,36000,crossover,145,3,Petrol,2010,full,May
Mercedes-Benz,Vito ïàññ.,9500,van,280,2.2,Diesel,2005,rear,Jun
Toyota,Land Cruiser 200,100000,crossover,49.5,4.5,Diesel,2016,full,Jul
Mercedes-Benz,Vito ïàññ.,16500,other,107,2.2,Diesel,2010,front,Aug
Toyota,Camry,15500,sedan,120,3.5,Petrol,2008,front,Sep
Porsche,Panamera,66250,sedan,22,4.8,Petrol,2014,full,Oct
Mercedes-Benz,Vito ïàññ.,10999,van,191,2.2,Diesel,2007,rear,Nov
Audi,Q7,36000,crossover,119,3,Diesel,2015,full,Dec
Audi,Q7,88888,crossover,119,3,Diesel,2015,full,Jan
Toyota,Land Cruiser 200,65000,crossover,49,4.5,Diesel,2014,full,Feb
Mercedes-Benz,Vito ïàññ.,16500,van,223,2.2,Diesel,2009,rear,Mar
Volkswagen,Touareg,17900,crossover,145,3,Diesel,2007,full,Apr
Volkswagen,T5 (Transporter) ãðóç,12000,van,165,2,Diesel,2013,front,May
Volkswagen,Touareg,20000,crossover,115,2.5,Diesel,2008,full,Jun
BMW,530,21000,sedan,186,3,Petrol,2007,rear,Jul
Hyundai,Accent,11800,sedan,65,1.4,Petrol,2013,front,Aug
Mercedes-Benz,Vito ïàññ.,9325,van,450,2.2,Diesel,2000,front,Sep
Volkswagen,T5 (Transporter) ïàññ.,10000,van,231,1.9,Diesel,2005,front,Oct
Volkswagen,Touareg,37990,crossover,140,3,Diesel,2012,full,Nov
Porsche,Cayenne,26500,crossover,88,3,Diesel,2016,full,Dec
BMW,530,3900,vagon,240,3,Diesel,2001,rear,Jan
Volkswagen,Touareg,33500,crossover,98,2.99,Petrol,2013,full,Feb
Hyundai,Accent,9700,sedan,54,1.4,Petrol,2013,front,Mar
Nissan,Leaf,12400,hatch,26,0.56,Other,2011,front,Apr
Mercedes-Benz,E-Class,6200,sedan,221,1.8,Gas,2004,rear,May
Hyundai,Accent,6900,crossover,105,1.6,Petrol,2009,front,Jun
Mercedes-Benz,E-Class,20300,sedan,198,1.8,Gas,2011,rear,Jul
Audi,Q7,18500,crossover,185,3.6,Petrol,2008,full,Aug
Toyota,Land Cruiser 200,73900,crossover,1,4.5,Diesel,2016,full,Sep
Toyota,Land Cruiser Prado,30500,crossover,40,2.7,Petrol,2011,full,Oct
Toyota,Land Cruiser Prado,30800,crossover,56,2.7,Gas,2011,full,Nov
Toyota,Land Cruiser Prado,25500,crossover,200,4,Petrol,2007,full,Dec
Mercedes-Benz,E-Class,29500,sedan,37,1.8,Petrol,2012,rear,Jan
Opel,Vectra C,3550,vagon,231,2,Diesel,2005,front,Feb
Volkswagen,T5 (Transporter) ãðóç,12000,van,162,2,Diesel,2011,front,Mar
Toyota,Land Cruiser 200,99999,crossover,49.5,4.5,Petrol,2016,full,Apr
Mercedes-Benz,GLS 350,107999,crossover,180,2.98,Diesel,2016,full,May
BMW,X6,39600,crossover,1,3,Diesel,2014,full,Jun
BMW,X6,39600,crossover,80,3,Diesel,2015,full,Jul
Toyota,Land Cruiser 200,74999,crossover,1,4.5,Diesel,2016,full,Aug
Audi,Q5,34000,crossover,118,2,Diesel,2013,full,Sep
BMW,318,2850,sedan,214,1.9,Petrol,2000,rear,Oct
Volkswagen,Passat B5,3250,sedan,255,1.9,Diesel,2003,front,Nov
Volkswagen,Touareg,16900,crossover,133,2.5,Diesel,2007,full,Dec
Toyota,Land Cruiser 200,99999,crossover,49.5,4.5,Diesel,2016,full,Jan
Chevrolet,Lacetti,6800,sedan,106,1.6,Petrol,2007,front,Feb
Toyota,Land Cruiser Prado,23400,crossover,120,4,Petrol,2007,full,Mar
Skoda,Superb,17900,sedan,65,1.8,Petrol,2013,front,Apr
Toyota,Land Cruiser Prado,37700,crossover,62,3,Diesel,2013,full,May
Land Rover,Range Rover Sport,29500,crossover,50,3.5,Diesel,2008,full,Jun
Mercedes-Benz,GLS 350,93555,crossover,180,3.02,Other,2016,full,Jul
Volkswagen,Passat B7,30000,sedan,67,2,Diesel,2013,front,Aug
Mitsubishi,Lancer X,7999,sedan,112,2,Petrol,2008,front,Sep
Land Rover,Range Rover Sport,43500,crossover,54,5,Petrol,2012,full,Oct
Mercedes-Benz,GLS 350,107777,crossover,180,3,Diesel,2016,full,Nov
Mitsubishi,Lancer X,8400,sedan,91,1.5,Petrol,2009,front,Dec
Land Rover,Range Rover Evoque,40000,vagon,52,2.2,Diesel,2013,full,Jan
Mercedes-Benz,GLS 350,109999,crossover,180,2.98,Diesel,2016,full,Feb
Opel,Vectra C,2780,sedan,254,2.2,Diesel,2003,front,Mar
Mercedes-Benz,E-Class,43500,other,51,3,Diesel,2014,rear,Apr
Volkswagen,T5 (Transporter) ãðóç,18700,other,145,2,Diesel,2011,front,May
Chevrolet,Lacetti,7800,sedan,85,1.6,Gas,2012,front,Jun
BMW,X5,6350,crossover,156,4.4,Gas,2002,full,Jul
Daewoo,Lanos,3500,sedan,112,1.49,Petrol,2007,front,Aug
BMW,X5,25500,other,163,4.8,Petrol,2008,full,Sep
Land Rover,Range Rover Sport,53500,crossover,69,3.5,Diesel,2012,full,Oct
Nissan,Qashqai,15999,crossover,59,2,Petrol,2011,full,Nov
Nissan,Qashqai,17700,crossover,40,1.6,Petrol,2014,front,Dec
Volkswagen,T5 (Transporter) ãðóç,14499,van,164,2,Diesel,2013,front,Jan
Daewoo,Lanos,4300,sedan,70,1.5,Petrol,2007,front,Feb
Mitsubishi,Pajero Wagon,18999,crossover,173,3.8,Gas,2008,full,Mar
Land Rover,Range Rover Sport,46200,crossover,45,3,Petrol,2014,full,Apr
Mercedes-Benz,GLE-Class,71999,crossover,180,2.2,Diesel,2016,full,May
Mercedes-Benz,GLS 350,109000,crossover,180,3,Diesel,2016,full,Jun
Mitsubishi,Pajero Wagon,18500,crossover,135,3,Gas,2009,full,Jul
Volkswagen,Passat B7,18900,other,45,2,Diesel,2013,front,Aug
Mercedes-Benz,Vito ãðóç.,17900,van,167,2.2,Diesel,2012,rear,Sep
BMW,X5,67500,crossover,1,2,Diesel,2016,full,Oct
BMW,X5,67500,crossover,1,2.5,Diesel,2016,full,Nov
Land Rover,Range Rover Sport,28999,crossover,139,3.6,Diesel,2008,full,Dec
Land Rover,Range Rover Sport,49999,crossover,43,5,Petrol,2012,full,Jan
Toyota,Camry,14700,sedan,139,3.5,Petrol,2008,front,Feb
Land Rover,Range Rover Sport,53500,crossover,57,3,Diesel,2013,full,Mar
Daewoo,Lanos,5600,sedan,145,1.6,Petrol,2008,front,Apr
Land Rover,Range Rover Sport,78900,crossover,62,3,Diesel,2015,full,May
Skoda,Octavia A5,13200,hatch,64,1.8,Petrol,2012,front,Jun
BMW,X5,37200,other,115,3,Diesel,2011,full,Jul
Land Rover,Range Rover,27500,other,174,3.6,Diesel,2008,full,Aug
Mazda,3,9200,sedan,124,2,Petrol,2007,front,Sep
Mercedes-Benz,Vito ãðóç.,17500,van,220,3,Diesel,2012,rear,Oct
Toyota,Camry,24000,sedan,16,2.5,Petrol,2013,front,Nov
Land Rover,Range Rover Sport,77777,crossover,42,2.99,Diesel,2014,full,Dec
Mazda,6,8000,sedan,167,2,Petrol,2007,front,Jan
BMW,X5,25800,crossover,36,3,Diesel,2013,full,Feb
Lexus,LX 570,85999,crossover,39,5.7,Gas,2013,full,Mar
Mercedes-Benz,E-Class,2400,sedan,3,3,Diesel,1998,front,Apr
Audi,A6,4600,vagon,242,99.99,Diesel,2004,front,May
Mitsubishi,Pajero Wagon,18900,crossover,127,3,Gas,2008,full,Jun
Mercedes-Benz,GLS 350,114999,crossover,180,2.99,Diesel,2016,full,Jul
Mercedes-Benz,GLE-Class,103333,crossover,180,3,Diesel,2016,full,Aug
Mercedes-Benz,GLE-Class,73499,crossover,1,3,Petrol,2015,full,Sep
Toyota,Land Cruiser Prado,20800,crossover,107,4,Petrol,2006,full,Oct
BMW,X5,24500,crossover,170,4.8,Gas,2007,full,Nov
Toyota,Camry,12300,sedan,157,2.4,Gas,2007,front,Dec
BMW,740,11500,sedan,193,4.4,Petrol,2000,rear,Jan
Mercedes-Benz,Vito ãðóç.,13200,van,182,2.2,Diesel,2011,rear,Feb
BMW,X5,29900,crossover,235,3,Diesel,2009,full,Mar
Mercedes-Benz,Vito ãðóç.,12500,van,167,2.2,Diesel,2013,rear,Apr
Skoda,Octavia A5,13999,sedan,88,1.8,Petrol,2012,front,May
Lexus,LX 570,79500,crossover,40,5.7,Petrol,2014,full,Jun
Land Rover,Range Rover Sport,30000,other,155,3.6,Diesel,2008,full,Jul
Lexus,GS 300,16600,sedan,179,3,Petrol,2006,full,Aug
Toyota,Camry,14300,sedan,71,2.4,Petrol,2008,front,Sep
Lexus,LX 570,54750,crossover,11,5.7,Petrol,2016,full,Oct
Lexus,LX 570,47000,crossover,1,5.7,Petrol,2008,full,Nov
Daewoo,Lanos,3200,sedan,130,1.5,Petrol,2003,front,Dec
Mercedes-Benz,S 350,23949.5,other,22,3,Diesel,2015,full,Jan
Audi,A5,24996,sedan,98,3.2,Petrol,2009,full,Feb
Mercedes-Benz,E-Class,9200,other,280,2.4,Petrol,2003,rear,Mar
Audi,A6,6800,sedan,225,2.4,Gas,1998,front,Apr
Ford,Kuga,15500,crossover,68,2.5,Diesel,2010,front,May
Mercedes-Benz,C-Class,38200,sedan,39,1.6,Petrol,2015,rear,Jun
Hyundai,Tucson,10500,crossover,120,2.07,Other,2007,full,Jul
Skoda,Octavia A7,19200,sedan,75,1.8,Petrol,2014,front,Aug
Mercedes-Benz,S 350,125000,sedan,18,3,Diesel,2015,full,Sep
Mercedes-Benz,S 350,23949.5,sedan,62,3,Diesel,2013,rear,Oct
Porsche,Panamera,51900,sedan,78,4.8,Petrol,2011,full,Nov
Porsche,Cayenne,87900,crossover,1,3,Diesel,2016,full,Dec
Toyota,Camry,9000,sedan,232,2.4,Petrol,2005,front,Jan
Nissan,Qashqai,11500,crossover,128,2,Petrol,2008,front,Feb
Infiniti,FX 37,35999,crossover,98,3.7,Gas,2012,full,Mar
Lexus,GS 300,21900,sedan,77,3,Petrol,2008,rear,Apr
Toyota,Camry,13900,sedan,139,2.4,Other,2008,front,May
Lexus,GX,22400,crossover,100,4.7,Gas,2005,full,Jun
Porsche,Cayenne,81000,crossover,35,4.8,Petrol,2014,full,Jul
Mercedes-Benz,E-Class,6200,other,340,2.4,Gas,1998,rear,Aug
BMW,X5,66900,crossover,70,3,Diesel,2014,full,Sep
Mercedes-Benz,E-Class,38600,other,12,1.8,Petrol,2012,rear,Oct
Nissan,X-Trail,21850,crossover,64,2,Petrol,2013,full,Nov
Mercedes-Benz,CL 55 AMG,37500,other,94,5.5,Petrol,2009,rear,Dec
Nissan,Leaf,17000,hatch,20,0.56,Other,2014,front,Jan
Audi,A5,39000,sedan,18,1.8,Other,2015,front,Feb
Lexus,LX 570,44500,crossover,144,5.7,Gas,2009,full,Mar
Mercedes-Benz,C-Class,24999,sedan,112,2.2,Diesel,2012,rear,Apr
Toyota,IQ,11300,hatch,87,1,Petrol,2009,front,May
Nissan,Qashqai,25382.955,crossover,70,1.6,Diesel,2016,full,Jun
Skoda,Superb,8100,sedan,135,1.8,Petrol,2008,front,Jul
Mitsubishi,Pajero Wagon,23000,crossover,125,3,Gas,2008,full,Aug
Nissan,Leaf,14200,sedan,28,0.56,Other,2014,front,Sep
Tesla,Model S,159600,sedan,9,0.6,Other,2016,full,Oct
Mercedes-Benz,Vito ïàññ.,9325,vagon,200,2.2,Diesel,2006,rear,Nov
Audi,A4,1950,vagon,210,1.8,Gas,1996,front,Dec
Land Rover,Range Rover Sport,33000,crossover,140,5,Petrol,2010,full,Jan
Audi,A6,6950,crossover,65,3,Diesel,2013,full,Feb
Land Rover,Range Rover Sport,51500,crossover,93,3,Diesel,2013,full,Mar
Skoda,Octavia A7,22700,hatch,24,1.4,Petrol,2014,front,Apr
Nissan,Leaf,17500,hatch,62,0.56,Other,2013,front,May
Skoda,Octavia A5,11900,sedan,109,1.8,Petrol,2012,front,Jun
Porsche,Cayenne,26500,crossover,200,4.8,Petrol,2007,full,Jul
BMW,520,28000,sedan,170,2,Diesel,2011,rear,Aug
Subaru,Forester,12900,vagon,116,2,Petrol,2008,full,Sep
Kia,Ceed,16400,hatch,54,1.6,Diesel,2013,front,Oct
Toyota,Camry,24171.42,sedan,1,2.5,Petrol,2016,front,Nov
Audi,A4,1950,sedan,320,19,Other,1996,front,Dec
Subaru,Forester,14000,crossover,171,99.99,Petrol,2010,full,Jan
Volkswagen,Polo,9900,sedan,80,1.6,Petrol,2011,front,Feb
Mercedes-Benz,GLS 350,110000,crossover,180,3,Diesel,2016,full,Mar
Nissan,Leaf,16500,hatch,32,0.56,Other,2013,front,Apr
Audi,A6,25500,sedan,140,2.8,Petrol,2012,front,May
Renault,Megane,13300,other,132,1.5,Diesel,2012,front,Jun
Volkswagen,T5 (Transporter) ãðóç,7000,van,345,1.9,Diesel,2006,front,Jul
VAZ,2121,3600,other,80,2,Gas,2002,full,Aug
Honda,Civic,12990,sedan,111,1.8,Petrol,2011,front,Sep
Porsche,Panamera,66250,sedan,14,3.6,Petrol,2014,full,Oct
Land Rover,Range Rover Sport,147000,crossover,15,5,Petrol,2015,full,Nov
Honda,Accord,11900,sedan,109,2.4,Petrol,2009,front,Dec
Volkswagen,Passat B6,12199,vagon,149,2,Diesel,2008,front,Jan
Chevrolet,Aveo,5200,sedan,179,1.5,Gas,2008,front,Feb
Toyota,Camry,24800,sedan,43,2.5,Gas,2015,front,Mar
Kia,Ceed,13300,hatch,35,1.6,Petrol,2012,front,Apr
Audi,A6,2200,sedan,250,3.66,Diesel,2001,front,May
Audi,A6,2300,vagon,250,2.5,Diesel,2001,full,Jun
Audi,A6,2350,vagon,250,3.66,Diesel,2001,front,Jul
Audi,A4,2500,sedan,180,2.23,Petrol,2000,front,Aug
BMW,X5,25800,crossover,8,2,Diesel,2016,full,Sep
Mitsubishi,Lancer,6200,sedan,152,1.6,Petrol,2006,front,Oct
Nissan,Murano,18200,crossover,65,3.5,Gas,2009,full,Nov
Ford,Focus,12500,sedan,63,1.6,Petrol,2013,front,Dec
Porsche,Panamera,117777,hatch,9,4.8,Petrol,2014,full,Jan
Kia,Sorento,8800,other,135,2.4,Gas,2006,full,Feb
Porsche,Panamera,69900,sedan,40,3,Diesel,2013,rear,Mar
Opel,Astra G,5350,sedan,180,1.4,Petrol,2007,front,Apr
Kia,Sorento,42741.621,crossover,114,2.2,Diesel,2016,full,May
Volkswagen,Passat B6,16500,sedan,123,1.8,Petrol,2010,front,Jun
Chevrolet,Aveo,6700,sedan,80,1.5,Petrol,2011,front,Jul
Mercedes-Benz,GLS 350,111999,crossover,180,3,Diesel,2016,full,Aug
Audi,A6,3700,vagon,273,2.5,Diesel,2003,front,Sep
Porsche,Macan,31750,crossover,13,3,Diesel,2015,full,Oct
Alfa Romeo,147,5900,hatch,199,1.6,Petrol,2002,front,Nov
Toyota,Land Cruiser 200,75500,crossover,50,4.6,Petrol,2015,full,Dec
Mercedes-Benz,ML 500,55000,crossover,40,4.6,Petrol,2013,full,Jan
Mitsubishi,Lancer X,9800,sedan,148,2,Gas,2008,front,Feb
Subaru,Forester,6100,vagon,350,2,Petrol,2005,full,Mar
Chevrolet,Aveo,5500,sedan,121,1.5,Petrol,2006,front,Apr
Chevrolet,Aveo,7799,sedan,199,1.6,Gas,2012,front,May
Honda,Civic,13900,hatch,63,1.8,Petrol,2013,front,Jun
Kia,Sorento,14500,crossover,106,2.5,Diesel,2008,full,Jul
Smart,Fortwo,8000,other,62,1,Petrol,2011,rear,Aug
Renault,Duster,14700,crossover,61,1.5,Diesel,2013,front,Sep
Lexus,LX 450,135555,crossover,127,4.5,Diesel,2016,full,Oct
Hyundai,Santa FE,14500,crossover,102,2.2,Diesel,2008,full,Nov
VAZ,2114,4100,hatch,60,1.6,Petrol,2013,front,Dec
Porsche,Panamera,54900,sedan,64,4.8,Petrol,2011,full,Jan
BMW,520,30500,sedan,73,2,Petrol,2013,rear,Feb
Volkswagen,Passat B6,10700,sedan,195,3.2,Petrol,2007,full,Mar
Nissan,Leaf,17700,hatch,21,0.11,Other,2014,front,Apr
Renault,Megane,8700,vagon,123,1.5,Diesel,2009,front,May
Mitsubishi,Lancer,6200,sedan,170,1.65,Other,2005,front,Jun
Honda,Accord,13200,sedan,145,2,Gas,2008,front,Jul
Toyota,Land Cruiser 200,59900,crossover,90,4.5,Diesel,2012,full,Aug
Ford,Focus,12099,sedan,109,1.6,Gas,2011,front,Sep
Volkswagen,Caddy ïàññ.,7300,van,240,1.9,Diesel,2005,front,Oct
Mercedes-Benz,S 320,24800,other,160,3,Diesel,2007,rear,Nov
Tesla,Model S,80000,sedan,27,0.6,Other,2013,front,Dec
Ford,Fiesta,12300,hatch,71,1.6,Gas,2013,front,Jan
Subaru,Forester,17000,crossover,134,2,Petrol,2011,full,Feb
Tesla,Model S,58000,hatch,52,0.6,Other,2013,front,Mar
Land Rover,Range Rover,102999,crossover,39,5,Petrol,2014,full,Apr
Peugeot,Partner ïàññ.,8500,van,135,1.6,Diesel,2009,front,May
Hyundai,Santa FE,29999,crossover,52,2.2,Diesel,2014,full,Jun
Suzuki,Grand Vitara,11500,crossover,101,2,Petrol,2008,full,Jul
Kia,Sportage,20500,crossover,98,2,Petrol,2011,full,Aug
BMW,X6 M,89999,crossover,17,4.4,Petrol,2015,full,Sep
Renault,Megane,7800,vagon,120,1.5,Diesel,2008,front,Oct
Lexus,GS 300,16500,sedan,115,3,Petrol,2007,rear,Nov
Renault,Trafic ïàññ.,10600,vagon,220,2.5,Other,2006,front,Dec
Audi,Q7,37800,other,126,3,Diesel,2010,full,Jan
Volkswagen,Caddy ãðóç.,8800,van,93,1.6,Diesel,2012,front,Feb
BMW,316,8500,sedan,284,1.9,Gas,2000,rear,Mar
Toyota,Land Cruiser Prado,25900,crossover,97,4,Petrol,2009,full,Apr
Land Rover,Range Rover,95000,crossover,60,5,Petrol,2014,full,May
Toyota,Land Cruiser 200,36000,crossover,940,4.57,Other,2009,full,Jun
Subaru,Forester,8000,crossover,210,2,Petrol,2005,full,Jul
BMW,316,2550,sedan,280,1.6,Petrol,2000,rear,Aug
Nissan,Leaf,18500,hatch,9,0.56,Other,2015,front,Sep
Nissan,Leaf,20999,hatch,12,0.56,Other,2015,front,Oct
Nissan,Leaf,14999,hatch,31,1,Other,2013,front,Nov
Mercedes-Benz,S 320,12600,sedan,123,3.2,Petrol,2000,rear,Dec
Tesla,Model S,85500,sedan,1,0.6,Other,2016,full,Jan
Renault,Duster,18456.1611,crossover,1,1.5,Diesel,2016,full,Feb
Mercedes-Benz,E-Class,8200,sedan,280,2.4,Gas,1997,rear,Mar
Mazda,6,12500,sedan,89,2,Petrol,2009,front,Apr
Peugeot,307,8300,vagon,135,2,Petrol,2008,front,May
Audi,A8,4150,sedan,220,2.5,Diesel,1999,front,Jun
Audi,A8,46000,sedan,170,4.2,Diesel,2011,full,Jul
Toyota,Highlander,28700,crossover,100,3.5,Petrol,2012,full,Aug
Daewoo,Matiz,3499,hatch,104,0.8,Petrol,2008,front,Sep
Skoda,Octavia Tour,7650,sedan,119,1.8,Gas,2006,front,Oct
Audi,80,2411,sedan,240,1.6,Other,1987,front,Nov
Volkswagen,Caddy ïàññ.,8900,van,272,1.9,Diesel,2005,front,Dec
Renault,Megane,11500,vagon,230,1.5,Diesel,2012,front,Jan
Volkswagen,Caddy ãðóç.,4500,van,380,2,Diesel,2004,front,Feb
Hyundai,Accent,9600,sedan,98,1.4,Petrol,2011,front,Mar
Ford,Fiesta,5900,hatch,138,1.4,Petrol,2008,front,Apr
Mercedes-Benz,E-Class,9900,sedan,275,2.2,Other,2005,rear,May
Toyota,Rav 4,15300,crossover,130,2,Petrol,2008,full,Jun
Nissan,Micra,9300,hatch,97,1.2,Petrol,2010,front,Jul
Renault,Trafic ïàññ.,12499,van,78,2,Diesel,2012,front,Aug
Nissan,Juke,15000,crossover,46,1.6,Petrol,2013,front,Sep
Toyota,Sequoia,37700,crossover,47,5.7,Gas,2009,full,Oct
BMW,525,8000,sedan,330,2.49,Diesel,1997,rear,Nov
Smart,Fortwo,6500,other,110,1,Petrol,2007,rear,Dec
Suzuki,Grand Vitara,9650,crossover,81,2,Petrol,2006,full,Jan
Volkswagen,Passat B5,7000,sedan,185,2.8,Gas,2004,full,Feb
Honda,Civic,13200,sedan,100,1.8,Petrol,2012,front,Mar
Honda,Civic,13400,sedan,38,1.8,Petrol,2012,front,Apr
Suzuki,Grand Vitara,6999,crossover,203,2,Petrol,2002,full,May
BMW,X5 M,34600,crossover,163,5,Petrol,2011,full,Jun
Audi,80,1300,sedan,250,1.86,Gas,1994,front,Jul
Kia,Sorento,23999,crossover,14,2.2,Diesel,2012,full,Aug
Opel,Omega,1600,sedan,280,2.3,Diesel,1987,rear,Sep
Mercedes-Benz,G 500,35900,crossover,254,5,Gas,2004,full,Oct
Ford,Kuga,16400,crossover,87,2.5,Petrol,2010,full,Nov
Hyundai,Accent,8900,sedan,138,1.4,Petrol,2011,front,Dec
Subaru,Forester,38900,crossover,134,2,Diesel,2016,full,Jan
Renault,Trafic ïàññ.,13200,van,230,2,Diesel,2009,front,Feb
Toyota,Rav 4,26500,crossover,21,2,Petrol,2013,full,Mar
Volkswagen,T4 (Transporter) ïàññ.,7800,van,282,2.5,Diesel,2000,front,Apr
Mercedes-Benz,GLS 350,109999,crossover,1,3,Diesel,2016,full,May
Audi,A8,24900,sedan,163,4.2,Diesel,2008,full,Jun
